,href,点赞用户数,评分,参与评分人数,热度,总计评论数,演员,信息,剧情
20,http://www.iqiyi.com/v_19rrjems7c.html,1.0万,9.0,73.9万人评分,2278,全部评论(3501),黄渤饰 牛二;闫妮饰 九儿,斗牛;导演： 管虎;地区： 华语;类型： 喜剧;首映： 2009,简介：故事背景是抗战时期，1941年，中国，战火弥漫，大地哀鸣。日本鬼子来了，全村人被杀光了，只剩下牛二。共产国际给中国的抗日根据地送来了一头荷兰奶牛，为受伤的战士提供营养。但因为鬼子要进村了，所以根据地的同志不得不转移，就把奶牛托付给牛二照看。牛二起初不愿意接收这头牛，但是村长以把九儿嫁给他为条件，诱使他接下了这个任务。谁知道这头牛硬是逼得黄渤不得不和日本鬼子、土匪以及逃亡的...收起>
21,http://www.iqiyi.com/v_19rv5uojk4.html,3.3万,8.0,73.3万人评分,3909,全部评论(3410),凌潇肃饰 刘浪;贾乃亮饰 廖星亮;金晨饰 郭俏男;张云龙饰 赵海龙;刘俊孝饰 严忠,特警队;导演： 丁晟;类型： 枪战;首映： 2019,简介：《特警队》是华语内地警匪片中第一部完全以特警为主角的电影，影片以真实的特警精英队伍“蓝剑突击队”为人物原型，讲述了特警队员们对内在实战演练中互相博弈，置身训练场不断淬炼自我，场场来真的；对外无惧艰险，深入虎穴，齐心协力捣毁制毒基地、解救线人，共同守护城市安全的故事。收起>
22,http://www.iqiyi.com/v_19rrmy64ck.html,6.9万,8.5,77.1万人评分,2768,全部评论(4829),林正英饰 道 长;楼南光饰 刘有光;金少龙,甩皮鬼;导演： 陈会毅;地区： 香港地区;类型： 动作;首映： 1992,简介：奸商刘有光事业遭遇窘境，为了让手中的度假村顺利开张，他不惜让一手捧红的女明星叶玉芝向相关官员出卖肉体。但在一个暴雨之夜，玉芝不慎触电，虽保住性命，然而容貌尽毁。为赶在高官从国外回来前让玉芝重焕青春，刘有光遍寻名医，却无人能治。在巫医指点下，刘绑架并杀害一名少女，通过锦衣授魂术将少女的皮肤移至玉芝身上。一眉道长和一群年轻人来刘拥有的小岛上游玩，发现刘印堂发暗，厄运缠身。...收起>
23,http://www.iqiyi.com/v_19rttas5bw.html,8798,6.9,15.5万人评分,2524,全部评论(1159),王嘉儒饰 苏吉;魏晓东饰 李卓;龙德饰 肥英;李楠（男演员）饰 炳九,荒岛求生2背后杀机;导演： 苗金仓;地区： 华语;类型： 惊悚;首映： 2019,简介：苏吉、苏欣然、花嘉懿、李卓一行四人出海游玩海钓，突发意外流落荒岛。四人一边解决生存问题一边想方设法离开荒岛，重返大陆的过程中，遇上了畏罪潜逃至此的炳九、肥英团伙，犯罪团伙会对他们做出什么事情呢？他们四人究竟能否平安回家？收起>
24,http://www.iqiyi.com/v_19rrhuojvs.html,3.9万,6.1,5.9万人评分,1892,全部评论(773),文素丽饰 Hyun-jung;金泰宇（演员）饰 Sanghoon;李善均饰 Min-suk,苹果;导演： 康理贯;地区： 韩国;类型： 爱情;首映： 2006,简介：在贸易公司工作的贤正，是个活泼开朗的女人，无论工作还是恋爱，都相当积极主动。她与初恋男友民熙已经相处七年，一个眼神就能了解彼此的意愿。不过，就在她以为工作和恋情都一帆风顺的时候，民熙却向她提出了分手，他脸上一副淡淡的表情，似乎连一个确切的理由都懒于提供。贤正的生活瞬间陷入黑暗之中，不再相信世界上会有无条件的爱。就在这时，她的身边出现了另一位求爱者一二相勋。在相勋的温...收起>
25,http://www.iqiyi.com/v_19rr9a8i4s.html,8.9万,8.3,126.2万人评分,2151,全部评论(2.3万),张艺兴;张正阳,老九门番外之二月花开;导演： 林楠;类型： 悬疑;首映： 2016,简介：《二月花开》——抗日战争时期，为了将隐藏在古墓中的文物转移出来，二月红将戏曲舞台搭在由日本兵守卫的古墓正上方。利用戏曲折子关系，在众目睽睽之下，二月红一边唱戏，一边和日本兵斗智斗勇，最终打通了通往古墓的盗洞，转移出了国宝。收起>
26,http://www.iqiyi.com/v_19rrcuke28.html,40.7万,9.0,696万人评分,4315,全部评论(2.7万),吕艳婷饰 儿童哪吒（配音）;囧森瑟夫饰 少年哪吒（配音）,哪吒之魔童降世;导演： 饺子;地区： 华语;类型： 动画;首映： 2019,简介：天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔...收起>
27,http://www.iqiyi.com/v_19rwcppfj4.html,2.4万,6.8,62.5万人评分,4480,全部评论(1.1万),罗嘉良饰 林浩;廖银玥饰 林伊;王炳翔饰 程杰;何其炜饰 曹方,巨鳄岛;导演： 徐仕兴 / 赵晋仪;地区： 华语;类型： 动作;首映： 2020,简介：本片构建在一个架空的荒岛之上，几人乘机坠毁于此，通过一个身处无人岛，被巨鳄袭击的故事，表现人性百态。在面对鳄鱼的袭击时，不同的人展现出不同的人性特征，其中路文兵在遇到危险的情况下，无私无畏，勇于无私奉献的精神值得我国年轻一代学习，在小格局中呈大爱之趋，把人性的真善美展现得淋漓尽致，为世人树立了一个正义、睿智、聪慧的荧幕形象。其次通过表现无人岛上各类身份人群的特征，揭示...收起>
28,http://www.iqiyi.com/v_19rr8ie73o.html,13.8万,8.4,162.6万人评分,2855,全部评论(6166),罗莎·萨拉查饰 阿丽塔;克里斯托弗·瓦尔兹饰 戴森·艾德博士;基恩·约翰逊饰 雨果;艾德·斯克林饰 萨曼;詹妮弗·康纳利饰 切伦,阿丽塔：战斗天使;导演： 罗伯特·罗德里格兹;地区： 美国;类型： 动作;首映： 2019,简介：故事发生在遥远的26世纪，外科医生依德在垃圾场里捡到了只剩下头部的机械少女将她带回家中，给她装上了本来为自己已故的女儿所准备的义体，并取名阿丽塔。苏醒后的阿丽塔对这个五彩斑斓但却暴力而又残酷的世界产生了浓厚的兴趣，在结识了青年雨果后，阿丽塔开始接触名为机动球的运动，并在比赛中展现出了惊人的格斗天赋。在废铁城居民们的头顶，漂浮着巨大的浮空城市撒冷，废铁城居民们的一切劳作和...收起>
29,http://www.iqiyi.com/v_19rr8cyldo.html,2.5万,8.1,39.4万人评分,2056,全部评论(7188),Tobin Bell饰 John Kramer / Jigsaw;Callum Keith Rennie饰 Detective Halloran;劳拉·范德沃特饰 Anna;Matt Passmore饰 Logan Nelson,电锯惊魂8：竖锯;导演： 迈克尔·斯派瑞 / Peter Spierig;地区： 美国;类型： 惊悚;首映： 2017,简介：各地再次出现各种杀人案，追查结果都指向了已经在系列第三部中去世的竖锯老怪约翰·克莱默，究竟是本尊回归，还是有党徒在模仿他的手法作案？警方一筹莫展。。。。
